date,sales,digital,radio,tv_k,tv,year,month,quarter,qtr,gdp_change,cpi_yoy,ca_unemployment,consumer_sentiment,ecommerce_pct,covid_lockdown,covid_relaxation,month_sin,month_cos,trend,total_spend,digital_adstock,radio_adstock,tv_adstock,digital_sat,radio_sat,tv_sat,c_dig,c_rad,c_tv,c_base
2020-01-01,397.8,115.05,18.9,34.6,0.0346,2020,1,1,2020 - Q1,-0.046,2.5,4.2,99.8,11.8,0,0,0.49999999999999994,0.8660254037844387,0,133.9846,115.05,18.9,0.0346,4.754021132720446,2.990719731730447,0.03401487858727765,462.1627381475063,248.55735496320648,-32.45343062164081,-600.0765553063096
2020-02-01,187.20000000000002,22.25,19.65,22.55,0.02255,2020,2,1,2020 - Q1,-0.046,2.3,4.3,101.0,11.8,0,0,0.8660254037844386,0.5000000000000001,1,41.92255,33.755,25.319999999999997,0.05369,3.548323446552449,3.2703291064571163,0.052298289211033834,344.95069207932966,271.7955627657024,-49.89754398757745,-600.0765553063096
2020-03-01,167.4,8.6,22.95,34.65,0.03465,2020,3,1,2020 - Q1,-0.046,1.5,5.5,89.1,11.8,0,0,1.0,6.123233995736766e-17,2,31.584649999999996,11.9755,30.546,0.082971,2.5630629639549456,3.451446798065282,0.07970819019033995,249.16847535930737,286.84817163625,-76.0491975204719,-600.0765553063096
2020-04-01,333.0,75.75,20.65,29.25,0.02925,2020,4,2,2020 - Q2,-0.299,0.3,16.0,71.8,16.4,1,0,0.8660254037844387,-0.49999999999999983,3,96.42925000000001,76.94755,29.8138,0.1039239,4.356036164605735,3.427962641582279,0.09887101431962173,423.47258144216823,284.8964140853745,-94.3323550451604,-600.0765553063096
2020-05-01,232.20000000000002,90.4,5.4,29.2,0.0292,2020,5,2,2020 - Q2,-0.299,0.1,16.4,72.3,16.4,1,0,0.49999999999999994,-0.8660254037844387,4,95.82920000000001,98.094755,14.34414,0.12273151,4.596076513598261,2.730733642187049,0.11576456435756263,446.80813293829414,226.9500294560638,-110.45040916970437,-600.0765553063096
2020-06-01,129.6,4.35,24.45,37.5,0.0375,2020,6,2,2020 - Q2,-0.299,0.6,14.9,78.1,16.4,1,0,1.2246467991473532e-16,-1.0,5,28.8375,14.159475500000001,28.753242,0.147958359,2.7186257819903843,3.392938100844234,0.13798502459142264,264.2915334884283,281.98554045442665,-131.6508424662743,-600.0765553063096
2020-07-01,212.4,28.75,16.4,11.75,0.01175,2020,7,3,2020 - Q3,0.353,1.0,13.5,72.5,14.5,0,1,-0.4999999999999998,-0.8660254037844388,6,45.16175,30.16594755,25.025972599999996,0.14491252310000002,3.439326074098308,3.2590949855606506,0.13532823504834643,334.35449936205765,270.86190009389236,-129.11601245383457,-600.0765553063096
2020-08-01,237.6,60.1,9.8,5.8,0.0058,2020,8,3,2020 - Q3,0.353,1.3,11.4,74.1,14.5,0,1,-0.8660254037844384,-0.5000000000000004,7,69.9058,63.116594755,17.30779178,0.13622127079000002,4.160703218954312,2.9073267495565216,0.12770808195667663,404.48326555727647,241.62660219097953,-121.8456613616721,-600.0765553063096
2020-09-01,86.39999999999999,4.3,1.05,0.5,0.0005,2020,9,3,2020 - Q3,0.353,1.4,10.7,80.4,14.5,0,1,-1.0,-1.8369701987210297e-16,8,5.350499999999999,10.611659475500002,6.242337533999999,0.12309914371100002,2.4520097205084843,1.9799440181004748,0.11609195655311957,238.37242089540806,164.5522456995755,-110.76277247499478,-600.0765553063096
2020-10-01,190.79999999999998,99.9,1.3,10.6,0.0106,2020,10,4,2020 - Q4,0.039,1.2,9.3,81.8,14.9,0,0,-0.8660254037844386,0.5000000000000001,9,101.2106,100.96116594755,3.1727012601999993,0.12138922933990001,4.624592014785313,1.4285636103097,0.11456830000632527,449.580270827533,118.72727110066467,-109.3090591564033,-600.0765553063096
2020-11-01,154.79999999999998,33.05,2.9,12.1,0.0121,2020,11,4,2020 - Q4,0.039,1.2,9.0,76.9,14.9,0,0,-0.5000000000000004,0.8660254037844384,10,35.96209999999999,43.146116594755,3.8518103780599997,0.12135030640591002,3.787504963832621,1.5793519091268526,0.11453358983746836,368.2027521468926,131.25921794802346,-109.27594235270891,-600.0765553063096
2020-12-01,313.2,107.35,12.0,2.0,0.002,2020,12,4,2020 - Q4,0.039,1.4,8.9,80.7,14.9,0,0,-2.4492935982947064e-16,1.0,11,119.35199999999999,111.6646116594755,13.155543113418,0.11121527576531902,4.724415366939766,2.6501062868435454,0.1054542594525266,459.2846100542214,220.24912667027706,-100.61339728489052,-600.0765553063096
2021-01-01,165.6,11.9,17.55,32.95,0.03295,2021,1,1,2021 - Q1,0.063,1.4,8.8,79.0,15.6,0,0,0.49999999999999994,0.8660254037844387,12,29.482950000000002,23.06646116594755,21.4966629340254,0.13304374818878711,3.1808192183831716,3.1133669841674436,0.12490759400014201,309.2237241862976,258.75051226103386,-119.1737293901692,-600.0765553063096
2021-02-01,174.6,48.75,3.8,3.6,0.0036,2021,2,1,2021 - Q1,0.063,1.7,8.3,76.8,15.6,0,0,0.8660254037844386,0.5000000000000001,13,52.553599999999996,51.056646116594756,10.248998880207619,0.12333937336990841,3.952332474068067,2.420279136264735,0.11630583256886408,384.22647844632917,201.1482968464317,-110.96683054390093,-600.0765553063096
